# galaxy bin_orb_a mass_final chi_eff spin_final spin_angle_final mass_1 mass_2 spin_1 spin_2 spin_angle_1 spin_angle_2 gen_1 gen_2 time_merged
4.800000000000000000e+01 1.388334355623984084e+04 3.962419688316356314e+01 1.429289998482493121e-02 5.698632863178364483e-01 0.000000000000000000e+00 2.975782003230619566e+01 1.152916541466423972e+01 3.276320307255187192e-02 -3.032902145618123629e-02 2.733746587852082799e-01 3.065100000000000158e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.000000000000000000e+05
4.800000000000000000e+01 2.263997299468951678e+04 4.034670212481988472e+01 -5.094389874950130959e-03 5.884579911063972935e-01 0.000000000000000000e+00 2.752321515372071659e+01 1.469344761212720485e+01 8.347804481349292705e-02 -1.850482291929664846e-01 4.415557090396602380e-01 2.573750306210482730e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.300000000000000000e+05
4.800000000000000000e+01 1.504936162659635011e+04 2.655062962698540474e+01 -5.275171918895290440e-02 6.301366588182589767e-01 0.000000000000000000e+00 1.055756799001812674e+01 1.724750315293530178e+01 -1.035479331682662291e-01 -6.891766029322482501e-02 2.474191946570480916e+00 2.107843524784644984e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.700000000000000000e+05
4.800000000000000000e+01 1.221906981983082733e+04 2.714823578566146622e+01 3.624890310458744880e-02 6.781978789752731718e-01 0.000000000000000000e+00 1.769846503913624147e+01 1.082656466630652403e+01 2.171122946179565236e-02 7.954693536079222860e-02 6.357207920528127332e-01 5.705371852385764386e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.900000000000000000e+05
4.800000000000000000e+01 2.955797969449925222e+04 4.026805685108061539e+01 -6.699970835684147807e-02 5.294699159623363904e-01 0.000000000000000000e+00 1.211999777597094585e+01 2.981278074896014374e+01 4.367622374839278364e-03 -1.636350568640505543e-01 1.960048595437450247e+00 2.179473776746001956e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+05
4.800000000000000000e+01 1.775335841098475430e+04 5.422791452439942361e+01 -1.177923580070128380e-02 6.500750906268596419e-01 0.000000000000000000e+00 1.974013562975711622e+01 3.705919336624408089e+01 -6.484514182844321184e-02 5.742326860415259554e-02 2.603939291611794715e+00 1.367141400815900187e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.800000000000000000e+05
4.800000000000000000e+01 1.310950978923836919e+04 4.970698885970739411e+01 4.669527053368600633e-01 5.305111976408637409e-01 0.000000000000000000e+00 3.992608876792587580e+01 1.180017763608004344e+01 6.026632863178361665e-01 -1.023753270628223466e-02 0.000000000000000000e+00 7.084940013410438997e-01 2.000000000000000000e+00 1.000000000000000000e+00 7.400000000000000000e+05
4.800000000000000000e+01 1.945887541373804197e+04 7.125988429755825848e+01 4.601224785808609163e-01 8.332243554691876053e-01 0.000000000000000000e+00 2.017651114762162479e+01 5.436528484833140595e+01 -1.078581539928292476e-01 6.686750906268594807e-01 2.805377317497844913e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 8.000000000000000000e+05
4.800000000000000000e+01 1.520326912729942524e+04 7.211771038348345542e+01 5.784390958835096130e-01 8.390533267828150787e-01 0.000000000000000000e+00 2.672831424605296036e+01 4.984436964723762031e+01 6.413366588182588535e-01 5.447111976408636203e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 8.700000000000000000e+05
4.800000000000000000e+01 2.170887708259417923e+04 8.153200445599695456e+01 7.370199337341589718e-01 9.297734476619525790e-01 0.000000000000000000e+00 1.235492269180603309e+01 7.150615547189029542e+01 -6.925414896031117928e-02 8.762243554691871994e-01 3.009260000000000268e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 9.600000000000000000e+05
