orb_a_1 orb_a_2 mass_1 mass_2 spin_1 spin_2 spin_angle_1 spin_angle_2 bin_sep bin_orb_a time_to_merger_gw flag_merging time_merged bin_ecc gen_1 gen_2 bin_orb_ang_mom bin_orb_inc bin_orb_ecc gw_freq gw_strain id_num
2.317884351678469102e+04 2.326206582031455764e+04 1.612105614827040512e+01 3.811489902093892113e+01 -1.224325792642055183e-01 -1.640755742329542965e-01 1.876858711087075582e+00 3.030200000000000227e+00 9.164880412646769514e+01 2.326900486149924109e+04 2.533068151313629839e+20 0.000000000000000000e+00 0.000000000000000000e+00 1.057440228820415440e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.873074324355467501e-01 1.100000000000000110e-02 5.298128636177155357e-10 1.368765976270564804e-30 3.820000000000000000e+02
2.947137315293927168e+04 2.953562588318873532e+04 2.638733087177216774e+01 1.841738778517509800e+01 -4.415263811079182810e-02 1.633585101977300946e-01 2.188969895184680770e+00 1.807794407420082905e+00 1.230545870781112683e+01 2.978648815291194842e+04 1.119827795760874624e+18 0.000000000000000000e+00 0.000000000000000000e+00 8.576141472156338652e-02 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.863248777870092798e-01 1.100000000000000110e-02 9.787780512108393097e-09 3.465566916651876002e-29 3.840000000000000000e+02
1.533973350582340390e+04 1.540508914052936052e+04 1.382173221332896595e+01 5.536653067427540975e+01 5.969240925993062052e-02 8.822207386205281887e-01 1.129098474912687333e+00 0.000000000000000000e+00 5.782462037047269021e+00 1.534048572863347545e+04 4.525214741950993203e+19 0.000000000000000000e+00 0.000000000000000000e+00 2.177582137781063909e-01 1.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+00 2.839457953990798256e-01 1.210000000000000138e-02 3.775861743453056331e-08 2.280927743366185469e-28 3.860000000000000000e+02
3.568711250614295568e+04 3.586910218349883507e+04 2.714854640224733018e+01 1.535556018542495416e+01 -6.384936751152095469e-02 -9.535894194015565040e-02 2.314889668091748565e+00 3.055778236353366317e+00 1.855621846379372073e+02 3.599147092748604337e+04 7.177008044800085066e+21 0.000000000000000000e+00 0.000000000000000000e+00 6.690457841870878219e-02 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.140829097664592159e-03 1.100000000000000110e-02 1.627984577854109422e-10 2.542461602286963786e-31 3.870000000000000000e+02
1.677456481225820244e+04 1.679464094400308750e+04 1.227454173713146446e+01 1.178360104211867920e+01 -1.110110332693106244e-01 -2.360337995678873091e-01 3.013279599349267368e+00 2.252744529602022983e+00 1.381946541289294750e+01 1.677302063340265522e+04 7.282829208687787200e+16 0.000000000000000000e+00 0.000000000000000000e+00 7.917816792666826364e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000021e-02 6.026473342075201939e-09 7.206596130172114689e-30 3.880000000000000000e+02
