# galaxy orb_a mass spin spin_angle gen id_num
0.000000000000000000e+00 2.771634740257484009e+04 1.117416112918225046e+01 -1.361016623753585342e-01 2.584827058084776308e+00 1.000000000000000000e+00 5.400000000000000000e+01
0.000000000000000000e+00 1.559315188814715839e+04 1.121436044017485933e+01 -3.045865243213338736e-01 3.100000000000000089e+00 1.000000000000000000e+00 5.500000000000000000e+01
0.000000000000000000e+00 4.584622998336442106e+04 3.413681028717217458e+01 -2.278845613153516192e-01 3.100000000000000089e+00 1.000000000000000000e+00 5.700000000000000000e+01
0.000000000000000000e+00 3.732860298140579971e+02 1.455135464141739732e+01 -2.027530957911376219e-01 3.100000000000000089e+00 1.000000000000000000e+00 6.800000000000000000e+01
0.000000000000000000e+00 3.478745982506909058e+04 1.102448575620278604e+01 1.150419386952016010e-02 7.454629870027018601e-01 1.000000000000000000e+00 6.900000000000000000e+01
0.000000000000000000e+00 5.000000000000000000e+04 1.485211129744806158e+01 7.032150005556681016e-02 1.580188894304175085e+00 1.000000000000000000e+00 7.200000000000000000e+01
0.000000000000000000e+00 5.000000000000000000e+04 2.484459112864906771e+01 -8.966344738716733320e-02 1.147044377561747819e+00 1.000000000000000000e+00 8.200000000000000000e+01
0.000000000000000000e+00 2.412677256642754219e+04 1.141622176197136795e+01 3.129493364739055483e-02 1.650782530303219975e+00 1.000000000000000000e+00 8.700000000000000000e+01
0.000000000000000000e+00 2.223865566554472753e+04 1.272258843810752360e+01 7.006840103655159746e-02 1.942844009400399585e+00 1.000000000000000000e+00 8.900000000000000000e+01
0.000000000000000000e+00 5.000000000000000000e+04 2.296095334559955603e+01 -3.096699090491421003e-01 3.100000000000000089e+00 1.000000000000000000e+00 9.100000000000000000e+01
0.000000000000000000e+00 4.681065530137464521e+04 1.027610716012000758e+01 -4.741972539396351050e-02 2.157556506355070791e+00 1.000000000000000000e+00 9.500000000000000000e+01
0.000000000000000000e+00 3.671701105494033186e+02 1.237957869709914505e+01 -6.549514427659496041e-02 8.303328631572274299e-01 1.000000000000000000e+00 9.700000000000000000e+01
0.000000000000000000e+00 3.559618693728737071e+02 1.431902863996369923e+01 -1.945387854741115474e-01 2.845974812673092380e+00 1.000000000000000000e+00 9.800000000000000000e+01
0.000000000000000000e+00 3.268816488326601757e+04 1.236190511470832831e+01 -2.454623705652468624e-02 8.499959543209757440e-01 1.000000000000000000e+00 9.900000000000000000e+01
0.000000000000000000e+00 2.220219134985633718e+04 1.381655680148968024e+01 -2.990729515292298371e-02 1.313067316644525917e+00 1.000000000000000000e+00 1.000000000000000000e+02
0.000000000000000000e+00 4.068808476888959558e+04 2.321208500207882963e+01 -2.041685605632373723e-01 2.813541463699120726e+00 1.000000000000000000e+00 1.010000000000000000e+02
0.000000000000000000e+00 4.226924759254297533e+04 3.518306034533849669e+01 4.477426464596415134e-02 1.752025530493067862e+00 1.000000000000000000e+00 1.040000000000000000e+02
0.000000000000000000e+00 1.252409217860785429e+04 1.238355295372537412e+01 -2.156187434522396362e-01 2.305487526488690708e+00 1.000000000000000000e+00 1.080000000000000000e+02
0.000000000000000000e+00 3.725038504083092903e+02 1.027547221482574535e+01 8.213790384929231525e-02 2.115229793617557696e+00 1.000000000000000000e+00 1.090000000000000000e+02
0.000000000000000000e+00 1.103457992491945333e+04 1.034717551555835158e+01 -1.010359891873718052e-01 3.016240000000000254e+00 1.000000000000000000e+00 1.130000000000000000e+02
0.000000000000000000e+00 3.802274070776052395e+04 1.256690434587645555e+01 -1.718581341496830117e-01 3.100000000000000089e+00 1.000000000000000000e+00 1.150000000000000000e+02
0.000000000000000000e+00 1.948833971727400422e+04 1.119645283690065618e+01 2.017279974302992052e-02 1.706394562590847652e+00 1.000000000000000000e+00 1.170000000000000000e+02
0.000000000000000000e+00 2.790268546825023077e+04 3.379764246801455130e+01 -1.351178952121401960e-02 6.730257582887483325e-01 1.000000000000000000e+00 1.180000000000000000e+02
0.000000000000000000e+00 5.000000000000000000e+04 3.012796120308813741e+01 -1.033714735992796729e-02 8.526090544557096695e-01 1.000000000000000000e+00 1.200000000000000000e+02
0.000000000000000000e+00 2.733972748701506134e+04 1.558840621232398149e+01 -3.572623976653206412e-01 2.271274616899051413e+00 1.000000000000000000e+00 1.230000000000000000e+02
0.000000000000000000e+00 3.907278624620300320e+02 1.218975855140933717e+01 4.261029236850685797e-02 9.420026998601165324e-01 1.000000000000000000e+00 1.350000000000000000e+02
0.000000000000000000e+00 5.148196729007017893e+03 1.089020194806663433e+01 -7.004939858991872381e-02 2.478252398844858817e+00 1.000000000000000000e+00 1.360000000000000000e+02
0.000000000000000000e+00 8.838577037176556814e+02 1.350619650720846288e+01 -3.007803568384072312e-02 1.527257974576761823e+00 1.000000000000000000e+00 1.370000000000000000e+02
0.000000000000000000e+00 1.156191392300004736e+03 1.710623372526605834e+01 -1.505169176078338666e-01 2.796724104166314007e+00 1.000000000000000000e+00 1.380000000000000000e+02
0.000000000000000000e+00 2.512256821766123903e+04 1.095461700330179333e+01 -9.591959875961136861e-02 1.515493633543564700e+00 1.000000000000000000e+00 1.450000000000000000e+02
0.000000000000000000e+00 3.598182599654449587e+04 2.290972856071111607e+01 -1.829188552676116186e-01 2.549545226622225158e+00 1.000000000000000000e+00 1.470000000000000000e+02
0.000000000000000000e+00 4.050160739152979090e+02 3.905524845610612772e+01 2.796619888512685836e-02 1.566308511046736962e+00 1.000000000000000000e+00 1.530000000000000000e+02
0.000000000000000000e+00 5.000000000000000000e+04 1.556470286440636919e+01 -1.781164449925248250e-01 2.642431274536085173e+00 1.000000000000000000e+00 1.560000000000000000e+02
0.000000000000000000e+00 4.202327168809289901e+02 1.543208813570066873e+01 -6.453980056708565061e-02 1.471813380894842593e+00 1.000000000000000000e+00 1.570000000000000000e+02
