# galaxy time_merged bin_sep mass_total bin_ecc gw_strain gw_freq gen_1 gen_2
0.000000000000000000e+00 3.500000000000000000e+05 1.710042347318899901e-05 4.799867138121331323e+01 9.113818444202970159e-02 5.079876071505894536e-17 6.184055317493954540e+00 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 3.600000000000000000e+05 1.710042347318899901e-05 4.799867138121331323e+01 9.113818444202970159e-02 inf 6.184055317493954540e+00 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.300000000000000000e+05 1.520424466473197346e-03 3.852043364790922908e+01 5.293145740768715468e-01 5.363387453279759433e-22 6.607959387278517470e-03 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.300000000000000000e+05 3.462794795376970131e-02 2.933826329769414798e+01 4.336645027681759190e-01 3.859043012611454152e-23 5.305741934067608547e-05 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.400000000000000000e+05 1.520424466473197346e-03 3.852043364790922908e+01 5.293145740768715468e-01 inf 6.607959387278517470e-03 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.400000000000000000e+05 5.867652659538830123e-07 2.933826329769414798e+01 4.336645027681759190e-01 8.549658109615161028e-15 7.606583909091399391e+02 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 5.300000000000000000e+05 1.906892578302169308e-02 2.806380024324596789e+01 5.139075953100732397e-01 4.187360126162073995e-26 1.269851549522030103e-04 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 5.400000000000000000e+05 5.829887815499661397e-01 2.770951758555538191e+01 1.082023913475634730e-01 2.363038052894628895e-27 7.464371424505639441e-07 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 5.400000000000000000e+05 5.612760048649193358e-07 2.806380024324596789e+01 5.139075953100732397e-01 8.713059854360216896e-15 7.952022163307526625e+02 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 5.500000000000000000e+05 5.541903517111076288e-07 2.770951758555538191e+01 1.082023913475634730e-01 7.283635781062689171e-14 8.053693494731196552e+02 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 5.900000000000000000e+05 4.578055564341712569e-01 4.187472891126068930e+01 2.322605874174326068e-01 3.487487043378854006e-29 1.318631574949207714e-06 1.000000000000000000e+00 2.000000000000000000e+00
0.000000000000000000e+00 6.000000000000000000e+05 1.852732559077243213e+00 3.340385771852352548e+01 5.244284170238470155e-01 4.384540537574224309e-28 1.446599357277014125e-07 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 6.000000000000000000e+05 8.374945782252138322e-07 4.187472891126068930e+01 2.322605874174326068e-01 9.471565409299316622e-15 5.329323134099507797e+02 1.000000000000000000e+00 2.000000000000000000e+00
0.000000000000000000e+00 6.100000000000000000e+05 6.680771543704705425e-07 3.340385771852352548e+01 5.244284170238470155e-01 1.841360402690636219e-14 6.680784099890815924e+02 1.000000000000000000e+00 1.000000000000000000e+00
