# Initial seed: 3456789108
# galaxy bin_orb_a mass_final chi_eff spin_final spin_angle_final mass_1 mass_2 spin_1 spin_2 spin_angle_1 spin_angle_2 gen_1 gen_2 time_merged chi_p
0.000000000000000000e+00 2.307353378368519770e+04 4.610735854119868549e+01 3.460524815939928223e-01 7.526708252578556690e-01 0.000000000000000000e+00 2.664760378656054840e+01 2.227763940086529715e+01 6.864527195047621655e-01 -6.155112826226984135e-02 0.000000000000000000e+00 3.023220000000000240e+00 2.000000000000000000e+00 1.000000000000000000e+00 9.100000000000000000e+05 5.452606376196923454e-01
0.000000000000000000e+00 1.189220132600602665e+04 3.139182577094762649e+01 -6.299836806869549277e-02 6.574838269769196497e-01 0.000000000000000000e+00 1.810472266495977678e+01 1.484601910849588613e+01 -1.261982786791074340e-01 -4.642958105952715853e-02 2.427378026941321210e+00 2.102445157750817639e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.100000000000000000e+05 1.545483180422746025e-17
0.000000000000000000e+00 2.519299989358520179e+04 4.581787859921413286e+01 4.836844883003936224e-01 8.187326302062710726e-01 0.000000000000000000e+00 1.045991606610509272e+01 3.714585830919374843e+01 -1.176769210261636722e-01 6.521698618677552739e-01 2.914308677097854794e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 9.400000000000000000e+05 3.082408352059470835e-01
0.000000000000000000e+00 9.117799028835765057e+03 5.149873426766000506e+01 6.006939937396290619e-01 8.987369260097792800e-01 0.000000000000000000e+00 1.374631337464880332e+01 4.008326600524433303e+01 -1.275775482186829179e-01 8.282097921644889782e-01 2.084800507015878601e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 9.400000000000000000e+05 3.312058380373290867e-02
0.000000000000000000e+00 2.298946305487003701e+04 4.060614617653003222e+01 3.699939890212092242e-02 6.885105014810899426e-01 0.000000000000000000e+00 2.525719481972745939e+01 1.748204643687773086e+01 7.279686875174608274e-02 5.591029204403011321e-02 6.274037439476549682e-01 1.475665266580971302e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.900000000000000000e+05 6.883617566284205846e-02
1.000000000000000000e+00 1.546332891722725253e+04 2.155851534095634392e+01 3.417972169949950317e-02 6.977315293385463191e-01 0.000000000000000000e+00 1.244147331471750384e+01 1.027473632247050617e+01 6.455798535361309543e-02 4.655077843017491057e-02 4.076871118613626388e-01 1.489025841220665614e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.600000000000000000e+05 6.100600771344886347e-02
1.000000000000000000e+00 3.058584294346052411e+04 2.888281590124896070e+01 -1.991658442834689721e-02 6.345554732607670001e-01 0.000000000000000000e+00 1.084534892138549722e+01 1.940721512862984710e+01 -4.102024085698612044e-02 -2.425551750777764359e-02 1.971582393036947600e+00 2.717142205139754463e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.600000000000000000e+05 1.411460305079489594e-02
1.000000000000000000e+00 2.046249932087786510e+04 2.757641795996092782e+01 -1.156970549143092331e-01 5.413719245649692979e-01 0.000000000000000000e+00 1.763994052698759774e+01 1.112127084363551432e+01 -9.270888980320139694e-02 -4.404608031310076055e-01 2.389392131461754332e+00 2.021427338776578875e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.800000000000000000e+05 2.342917719248978348e-01
1.000000000000000000e+00 3.088917335252491830e+04 5.832727166021629017e+01 2.415489284802534442e-01 7.813654592952590239e-01 0.000000000000000000e+00 3.290288947299324462e+01 2.891605024562069559e+01 -1.376219128169813011e-01 6.565554732607667976e-01 2.679222811504247126e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 8.200000000000000000e+05 5.818229057703850488e-02
1.000000000000000000e+00 2.051555680560962355e+04 4.024412385034052164e+01 3.866254488638766196e-01 8.117680155730016001e-01 0.000000000000000000e+00 1.478370088568353324e+01 2.765263400328823806e+01 -1.044439672069721881e-02 5.941719245649688119e-01 1.723269206528282860e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 9.100000000000000000e+05 5.060689451439778080e-03
