# id_num orb_a mass spin spin_angle orb_inc orb_ecc orb_arg_periapse orb_ang_mom gen galaxy time_passed gw_freq gw_strain
0.000000000000000000e+00 4.393480927527970380e+03 2.663169118033908234e+01 6.111068633177965670e-02 5.212952488773758830e-01 1.093191013583760460e-02 9.398790548889178476e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.000000000000000000e+00 3.478093110921458720e+04 1.613313533320071258e+01 -9.336558270220871036e-02 1.770621378149220160e+00 1.374122418310749598e-02 2.738194303264989207e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
2.000000000000000000e+00 3.716279303151095519e+04 3.216636309177854969e+01 8.691165610161946664e-02 2.271115536304872673e-01 3.116805766374937559e+00 1.377014528467167438e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 1.936747646415655254e+03 1.080609523584096365e+01 -7.616858335724829843e-02 2.006618918631617454e+00 -9.120296340122973147e-03 6.149599342770508542e-02 0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.000000000000000000e+00 1.925681748602978405e+04 1.565043008937005453e+01 -4.565737305410070418e-02 2.091088410732410807e+00 -3.015717224010934505e-02 6.608374656594152852e-02 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
5.000000000000000000e+00 1.971613706962204742e+04 1.005230259504994272e+01 1.356523103599484859e-01 1.448646829973023076e+00 -1.083295492343214726e-02 1.556874173280922424e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.000000000000000000e+00 4.958406402771112334e+04 1.824856296981065640e+01 -2.786659466733679147e-02 2.148389191750863514e+00 3.116689132675023011e+00 2.088939891945178762e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
7.000000000000000000e+00 1.739324384681918673e+04 2.489117688653288951e+01 -1.794350792522613480e-01 3.129499931818961578e+00 3.119336884750015138e+00 2.151921467444871949e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
8.000000000000000000e+00 3.743213298025076801e+04 1.265116017447405028e+01 2.721692197901317764e-02 8.068256040669807838e-01 3.118784524865888308e+00 1.026862520061694178e-01 0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
9.000000000000000000e+00 3.164124929166723086e+04 1.107946401266336700e+01 -1.896695308515750356e-01 1.638841528726576291e+00 1.774433660463980642e-02 1.937463662199878367e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.000000000000000000e+01 3.517316443431221705e+04 1.233943295013458830e+01 -1.997483326574788220e-01 2.422745867569358502e+00 -1.719044749914001163e-02 1.978342807078831145e-01 0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.100000000000000000e+01 7.243678974085874870e+03 2.145805867678044265e+01 -2.735135586062844085e-02 2.271912003242603006e+00 -1.459322990226512469e-02 5.287729940175853877e-02 0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.200000000000000000e+01 4.252932576570993115e+04 3.308089527258934481e+01 -1.961423839803672908e-01 2.021312808970556318e+00 3.093474150055752769e+00 2.935635488746506372e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.300000000000000000e+01 9.959798610768260914e+03 1.700245682251834012e+01 -6.672792222268007778e-02 2.909021814449038068e+00 3.141860492603944177e+00 2.131169294973652983e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.400000000000000000e+01 1.173461708980086405e+04 1.066629574761669375e+01 -1.915886874718086136e-02 2.738260444085595324e+00 3.166574973270280591e+00 1.021178788264064663e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.500000000000000000e+01 2.714441865244068686e+04 1.243562210235636556e+01 -4.673496531458484760e-02 2.412269365398323373e+00 4.609152568261111818e-03 2.708306430384012642e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.600000000000000000e+01 5.980893030091139735e+03 3.224305240638943815e+01 -6.096976121916729968e-02 1.862651252091646059e+00 8.223109076607715978e-03 1.533448166232651289e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.700000000000000000e+01 6.894890535158687044e+02 1.201863278949820035e+01 -2.301841817507821811e-02 1.727270294410977014e+00 1.962194275927262033e-02 2.226613702091715663e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.800000000000000000e+01 8.838527521575222636e+03 2.028912513651262017e+01 1.338996028728876575e-01 3.112656705688913172e-01 -2.111713394210662856e-02 2.989139660268935739e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
