# id_num orb_a mass spin spin_angle orb_inc orb_ecc orb_arg_periapse orb_ang_mom gen galaxy time_passed gw_freq gw_strain
1.200000000000000000e+01 2.806038476427698697e+04 1.014095659843744279e+01 -1.653974026009041309e-01 1.823761697970677664e+00 3.104110754926839189e+00 2.204626228278219191e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.600000000000000000e+01 2.864231048554572044e+04 1.732479016694297513e+01 -4.856431035581447106e-03 2.325691481099677826e+00 3.143451380670921225e+00 2.430894300864589741e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
2.000000000000000000e+01 3.140724592912488333e+02 1.771027299334175353e+01 -4.146732886744803476e-02 3.050479768025414096e+00 3.149095160067570731e+00 2.571158319067425313e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
2.600000000000000000e+01 7.167740147410884674e+03 1.347362413269993553e+01 -2.389400720914396370e-01 1.798321674478431831e+00 3.154172772285787740e+00 2.239700822151746706e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
2.900000000000000000e+01 1.875178472291845537e+04 1.583522816523925769e+01 1.794956080501493023e-01 4.343089986045345352e-01 3.127821616352808753e+00 7.822009939547439061e-02 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.500000000000000000e+01 3.464462995041856630e+04 1.270288046694584772e+01 -8.882644966400427000e-02 3.035923161470935216e+00 3.154294502487628993e+00 7.652791205975582878e-02 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.500000000000000000e+01 1.831041337218181752e+03 1.632450950130849776e+01 -5.370260009910911292e-02 3.055189527301744867e+00 3.136517624302143314e+00 6.312898586798044998e-02 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
7.400000000000000000e+01 2.955660850577091333e+04 1.270571179392107553e+01 -2.212123199890279057e-01 1.936021265970432115e+00 3.166389353145873553e+00 2.586588461128735417e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
9.500000000000000000e+01 1.711659005356220587e+04 1.174931309701284476e+01 1.105331690368797359e-01 3.802757286392632885e-01 3.121402159108598529e+00 1.900774920906911636e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.160000000000000000e+02 2.264472371678712443e+04 2.338643906568837849e+01 -3.665464081577403475e-03 2.777438401171121285e+00 3.112431539178628359e+00 1.912904343009757258e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
