# id_num orb_a mass spin spin_angle orb_inc orb_ecc orb_arg_periapse orb_ang_mom gen galaxy time_passed gw_freq gw_strain
7.000000000000000000e+00 3.640216844021379075e+04 1.633566099912612302e+01 -3.530956613885396361e-02 2.386679608946427056e+00 3.164482778151830100e+00 1.285096104602694023e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
8.000000000000000000e+00 2.352783448235527976e+04 1.443623100294558448e+01 1.094765199863189167e-02 8.384540406962494030e-01 3.176314214558620286e+00 2.073911903686060654e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.000000000000000000e+01 1.812712599346843126e+04 2.230407446959244666e+01 -4.077502747700213065e-02 2.266160105484656295e+00 3.030771059125340200e-02 4.119271201756283945e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.100000000000000000e+01 3.453020398649792696e+03 2.236747147834512006e+01 1.157945811042460360e-01 1.000080218672929622e+00 -4.596217760432407679e-03 9.000000000000001055e-02 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.200000000000000000e+01 4.460499884213798941e+04 1.085296114573704784e+01 -9.727214638433645533e-02 2.488206659474952787e+00 3.104278272415906148e+00 1.346984974504217281e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.300000000000000000e+01 7.164459159377129254e+02 1.521610945724141395e+01 6.350613789322054337e-02 1.476619138202739823e+00 -1.576611361662569669e-02 9.000000000000001055e-02 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.400000000000000000e+01 1.333472960312531359e+04 3.291664857097728003e+01 1.248071076045021988e-01 1.379866094522254283e+00 3.132523773629321884e+00 3.944902979068833082e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.900000000000000000e+01 2.328834669000362192e+04 1.394813100857425248e+01 1.617791548602683926e-01 1.189786080621206388e+00 3.391277890458508498e-02 4.151036674602383986e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
2.000000000000000000e+01 2.188459884338338270e+03 1.569610290166977151e+01 -7.929282121837583075e-02 2.728688271111923580e+00 3.134953274223338138e+00 9.000000000000001055e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
2.400000000000000000e+01 3.965890157901190832e+04 1.056962027422299322e+01 -6.997108707392922511e-02 2.300607040640084922e+00 3.160589162099614491e+00 2.047874126779967718e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
2.700000000000000000e+01 2.526746318609884838e+04 1.468604514393043559e+01 1.024504221851139096e-01 1.562544749959694501e+00 3.167032237867942968e+00 1.829058091630137994e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
2.900000000000000000e+01 3.702026756331579963e+04 2.383353259711061867e+01 1.049620529483215603e-01 5.355556857136247739e-01 3.122930001260622035e+00 1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
3.400000000000000000e+01 1.662944843850333200e+04 2.312448488066212349e+01 -8.309716190637110589e-02 2.899861672484068453e+00 3.140024453409382854e+00 1.115860551713386412e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
3.500000000000000000e+01 1.125722441920515394e+03 3.715769729373187147e+01 -5.833948066321038850e-02 2.943651889748734263e+00 3.147779439274510871e+00 9.000000000000001055e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
3.600000000000000000e+01 4.117490630148103810e+04 2.004672873106104447e+01 -4.457660128367556956e-02 1.875851240549372578e+00 3.155468425131529475e+00 2.915557339599649800e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
3.700000000000000000e+01 4.582806640058849007e+04 2.405012439518897693e+01 3.417785911937079590e-02 5.531513595366193137e-01 -2.658277860731716319e-02 1.185991990647941724e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
3.800000000000000000e+01 3.605567635718682868e+04 2.291044938284516164e+01 5.766465134752606775e-02 7.416826263530912344e-01 -4.105986501401241023e-02 2.276871053094604164e-02 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
3.900000000000000000e+01 3.411208340819276782e+04 1.467317221790041337e+01 5.189789778811115112e-02 1.086003721489591900e+00 6.765443114593401065e-03 1.392897629843875204e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.000000000000000000e+01 9.013085877891508062e+03 1.057206757121922891e+01 -1.792439391345838351e-01 1.846129906585298297e+00 3.121580719014690253e+00 1.867191956289044052e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.200000000000000000e+01 3.093635623045182365e+04 3.066918447889403154e+01 -1.899682355095005937e-01 2.159476550492284375e+00 1.001281209485505464e-03 1.828024273423863311e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.300000000000000000e+01 1.035761744339018878e+04 1.029844454920130126e+01 -4.192281948190559882e-02 2.008886257059688152e+00 3.155090893118277062e+00 6.866855330458199180e-02 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.500000000000000000e+01 2.457086989235272540e+03 1.015129486315643526e+01 -1.236488735786842597e-01 2.136403765635018104e+00 2.625504624589199663e-03 9.000000000000001055e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.600000000000000000e+01 2.520394466887115050e+04 1.611608116980417904e+01 -2.727913852758256236e-02 2.761375439314507574e+00 3.174004664133275089e+00 1.937668416002668315e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.700000000000000000e+01 3.200102155985109857e+04 1.124264229193386555e+01 -6.508059720986139607e-02 1.629615660405708599e+00 -2.728507562194932429e-02 1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.800000000000000000e+01 3.454164392371319263e+04 1.095318846034508731e+01 -7.017613397529746944e-02 1.907629241488838501e+00 3.174054122245188125e+00 2.885657009216024971e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
5.000000000000000000e+01 3.849478362281301816e+04 1.125187778460017185e+01 -6.382982213484585110e-02 3.100000000000000089e+00 -2.626286033355273997e-02 3.068665866340023612e-02 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
5.300000000000000000e+01 3.374106673096439772e+04 1.220384543939289124e+01 -5.735219447892383506e-03 2.483330521434464977e+00 -2.386619554920077491e-02 4.556534788122011681e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
5.400000000000000000e+01 4.718716276054208720e+04 3.041121479044351616e+01 2.999608620200665959e-02 1.325774979132474440e+00 3.142735174461368075e+00 1.864880785228214266e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
5.700000000000000000e+01 4.027882171520698466e+04 1.203261440838216068e+01 -9.046709324209445402e-02 2.075209283928638015e+00 1.338666254791281117e-02 2.872510898262722878e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
5.800000000000000000e+01 2.520878809670519695e+04 2.223599309993218043e+01 1.305972025825435645e-01 5.393594016167730931e-01 3.110176293475622522e+00 1.088467035771779334e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.000000000000000000e+01 1.276731769041987491e+03 2.180758921025928387e+01 1.537624356022352090e-01 3.915894037155848717e-01 3.134604186129702263e+00 9.000000000000001055e-02 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.100000000000000000e+01 5.502762830403136832e+03 1.200836408066911964e+01 1.128273955167438392e-01 5.062110325465450922e-01 1.655884619753972969e-02 9.000000000000001055e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.200000000000000000e+01 3.071966215104627622e+02 1.225896440009103117e+01 -3.721432407851198859e-02 2.917730938009948982e+00 -1.555490492130432584e-02 8.345811960100892046e-02 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.400000000000000000e+01 4.417463902148973284e+04 1.411058327251252820e+01 -4.404111370633814748e-02 1.804556215398108288e+00 7.535658755248962962e-03 1.400112293218636061e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.700000000000000000e+01 3.213297101617639419e+04 1.464538926141712061e+01 1.699043433107155776e-01 4.261909621652533176e-01 -2.254743004462103281e-02 1.786857683673706565e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.800000000000000000e+01 4.066625826779055933e+04 1.754547215892079137e+01 -4.792474494833776771e-02 2.126783587386338770e+00 3.884090417391735522e-02 2.382408425175995270e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
7.100000000000000000e+01 1.731335790885868118e+04 2.793707794181078441e+01 1.224661870014197435e-01 4.431285668618373252e-01 3.125149594850578083e+00 6.173587272974889739e-02 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
7.500000000000000000e+01 4.884671521282930189e+04 1.245059934685876257e+01 -6.128858301207133069e-02 2.200401328525415590e+00 -4.991879135216149843e-02 1.524629357102656457e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
7.600000000000000000e+01 2.267208004071732285e+04 1.094851541285663465e+01 2.367663137658884698e-01 1.132327860780990569e+00 1.606090831776047292e-02 1.404713048998963987e-01 1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
