# galaxy bin_orb_a mass_final chi_eff spin_final spin_angle_final mass_1 mass_2 spin_1 spin_2 spin_angle_1 spin_angle_2 gen_1 gen_2 time_merged
6.100000000000000000e+01 1.590546574281019275e+04 4.635825226536042010e+01 6.461410367992013494e-03 6.381560066293539002e-01 0.000000000000000000e+00 1.680426314118690811e+01 3.177666229029153655e+01 5.123543647304333593e-02 -4.166014488311096421e-03 1.047389556146819611e+00 2.645803899091548672e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.200000000000000000e+05
6.100000000000000000e+01 1.588061588565357852e+04 3.833550999716737806e+01 1.982050801131293380e-02 6.289077194499861356e-01 0.000000000000000000e+00 2.727018822593000991e+01 1.283588255101870601e+01 3.317351315022840086e-02 3.012082091353092059e-02 6.860234303038559300e-01 1.322720295619380426e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.400000000000000000e+05
6.100000000000000000e+01 1.606745181406809206e+04 5.011729849215593902e+01 1.034926479380775810e-01 7.320170618473302859e-01 0.000000000000000000e+00 3.067811673250287896e+01 2.219491024419543379e+01 7.605329998114893769e-03 2.684935519765266343e-01 3.030200000000000227e+00 2.938001681359663220e-01 1.000000000000000000e+00 1.000000000000000000e+00 4.500000000000000000e+05
6.100000000000000000e+01 2.568785687972782398e+04 4.413105482647161892e+01 1.064565843938044404e-02 5.987401948875400448e-01 0.000000000000000000e+00 1.285749632855266178e+01 3.309285021643713520e+01 -1.455074248911716051e-01 6.133716892984036884e-02 2.239949867934302841e+00 6.219640644171825494e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+05
6.100000000000000000e+01 1.779810615528987182e+04 3.423516257554147302e+01 3.892662742582205654e-03 6.985211905129118382e-01 0.000000000000000000e+00 1.587795725113920753e+01 2.016627438273439665e+01 -6.398659635526070255e-02 1.350605219965963222e-01 2.538578290338296295e+00 1.203875468361781831e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.300000000000000000e+05
6.100000000000000000e+01 9.980761301486583761e+03 3.068743822709310365e+01 7.715300563039087511e-02 7.120511006835537060e-01 0.000000000000000000e+00 1.550178312098816846e+01 1.687721082809121498e+01 9.571361971244969624e-02 8.436675535503647405e-02 6.346893966736641968e-01 4.144052476598036883e-01 1.000000000000000000e+00 1.000000000000000000e+00 6.100000000000000000e+05
6.100000000000000000e+01 2.885210270256326476e+04 5.342918963637155372e+01 4.840086225373713691e-01 7.890179752095951571e-01 0.000000000000000000e+00 1.118481269198429118e+01 4.423267306875438010e+01 8.186811851742188673e-02 5.961401948875399981e-01 1.052452117273106502e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 6.100000000000000000e+05
6.100000000000000000e+01 1.858815935351543521e+04 4.029529182787607766e+01 -2.917349352613528984e-02 6.277274326763607748e-01 0.000000000000000000e+00 1.490058105023809532e+01 2.730334750278707645e+01 4.216378298807411766e-03 -4.639166117024177971e-02 1.009197727689867818e+00 3.086040000000000116e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.200000000000000000e+05
6.100000000000000000e+01 5.000000000000000000e+04 4.388857080314440395e+01 -1.197926701057320936e-01 4.965194518003777646e-01 0.000000000000000000e+00 1.124773200287444475e+01 3.423879016725742019e+01 -1.929761670947039154e-01 -9.787742361173441819e-02 3.100000000000000089e+00 2.935498024750119228e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.200000000000000000e+05
6.100000000000000000e+01 1.553032502759893032e+04 4.257440287251385769e+01 -5.161805122758653802e-02 6.667527376956323693e-01 0.000000000000000000e+00 2.232599220410742547e+01 2.241051139067131359e+01 -9.961156473934507094e-02 -2.886208890972348506e-02 2.916763405249807484e+00 1.790957095254635423e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.500000000000000000e+05
6.100000000000000000e+01 1.270319896779423652e+04 4.776855615650373466e+01 -3.626750473224210625e-02 4.738129106311063099e-01 0.000000000000000000e+00 3.830422851495312386e+01 1.113349979866262096e+01 -9.326238139061628074e-02 -8.583174998999329453e-02 1.810104176466996506e+00 3.001378549958934716e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.000000000000000000e+05
6.100000000000000000e+01 2.506856930781335905e+04 4.304800453284595818e+01 1.494542201174600127e-01 7.407027374261834218e-01 0.000000000000000000e+00 2.695389527317217571e+01 1.850426607222704689e+01 1.277383826874184392e-01 2.639974856629587752e-01 4.293761552941596227e-01 7.228587517652862449e-01 1.000000000000000000e+00 1.000000000000000000e+00 7.500000000000000000e+05
