# id_num orb_a mass spin spin_angle orb_inc orb_ecc orb_arg_periapse orb_ang_mom gen galaxy time_passed gw_freq gw_strain
2.000000000000000000e+00 1.565350075212042611e+04 1.022009458269394599e+01 -4.805074056064882054e-02 2.683271798933268393e+00 3.146542314418621089e+00 1.551336973409289666e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 4.958345077735488303e+04 3.399310258766497839e+01 -1.281553991907936722e-02 2.083688179391402606e+00 3.188301823997111040e+00 1.578855032423541471e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
7.000000000000000000e+00 2.678661068002160391e+03 1.562211643286812901e+01 -9.556149209587046223e-02 1.608309160446061314e+00 3.134304548583898953e+00 1.262287301778323434e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.500000000000000000e+01 3.952136105662339105e+04 2.568634242414096036e+01 -1.145758599744951811e-01 2.420240949808143860e+00 3.176165108650974567e+00 1.185565130239192577e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
2.000000000000000000e+01 2.945512796172716844e+04 3.203982214177544563e+01 1.586953357035748510e-02 4.567540177722341777e-01 3.119454150043504903e+00 1.666780393992034481e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
3.200000000000000000e+01 2.432536120111368655e+04 2.261080765902793033e+01 5.490056976493806751e-02 6.543723184536567317e-01 3.139726641366126003e+00 2.382084163967430890e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.100000000000000000e+01 2.245469891366071170e+04 3.493526685246408192e+01 -9.929064260600223291e-02 2.512564692710282266e+00 3.101555456739819583e+00 5.144670637280377573e-02 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.500000000000000000e+01 2.987262456807499984e+04 1.113685321145879570e+01 4.654983937102748215e-02 9.639449072270466212e-01 3.134860406272743649e+00 1.506566634221950529e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
4.900000000000000000e+01 3.546485067036838154e+04 1.128609136384221046e+01 -5.811573928393595073e-03 2.005125209003021158e+00 3.115123056699085957e+00 1.339200858633874669e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
5.100000000000000000e+01 1.981481082973840103e+03 1.083548034155406725e+01 2.043175222125135498e-03 6.586746423893667934e-01 3.128241579472039291e+00 2.026515049490669740e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
5.400000000000000000e+01 3.400665063060935063e+04 1.708196334644571479e+01 8.352120813940458466e-02 1.378724767385280714e+00 3.173079045100739570e+00 9.135150352597538881e-02 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
5.700000000000000000e+01 4.088570726425619796e+04 2.520908689010094150e+01 -5.109544412811881098e-02 1.873778202123154379e+00 3.125985988341540178e+00 1.349969633284148207e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.500000000000000000e+01 1.080107237580309265e+04 1.271053735861979384e+01 -6.136564682736275755e-02 2.145834538959688231e+00 3.141258099660231728e+00 1.606912524901263073e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.600000000000000000e+01 1.578199043711056402e+04 2.632693618904834665e+01 1.662246502086253686e-01 3.450493865837115925e-01 3.107012623570834631e+00 1.238446654721810647e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
6.900000000000000000e+01 1.120979358532366859e+03 1.407844874745048713e+01 -1.222467928747337784e-01 2.044989992800984258e+00 3.140070076038476099e+00 2.077346508877628631e-02 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
7.600000000000000000e+01 9.919417871673329500e+03 1.085203411676796570e+01 -1.963654188803679312e-01 1.805164739438439803e+00 3.154363977548550579e+00 2.334183763819849267e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
7.800000000000000000e+01 1.261048807012791804e+04 1.324133988059641887e+01 -8.438321847485916183e-02 1.665114521899523137e+00 3.132969710891897908e+00 2.117234463041216819e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.070000000000000000e+02 3.294801460176313412e+04 1.515398706194873490e+01 -1.486198480051539594e-01 2.433399978544118269e+00 3.157173326134943281e+00 1.369487238398482409e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.100000000000000000e+02 3.472771327793162345e+04 1.061030673167946858e+01 -1.069543578291109603e-01 1.620106331264811184e+00 3.137241412266593699e+00 5.995719850718071731e-02 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.110000000000000000e+02 2.576998469674110311e+04 2.660935026916611790e+01 2.838931636577566447e-02 1.557852490500045928e+00 3.146481976659829094e+00 2.818585709021088070e-01 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
1.180000000000000000e+02 1.003604161298387589e+04 1.196567272714244012e+01 -3.522736036498581857e-02 2.902478947190761716e+00 3.123689940640131280e+00 1.638680477280298614e-02 1.570796326794896558e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00
