# id_num orb_a mass spin spin_angle orb_inc orb_ecc orb_arg_periapse orb_ang_mom gen galaxy time_passed star_X star_Y star_Z radius
2.380000000000000000e+02 4.753108482689527392e+01 1.447760018185018907e+03 8.829999999999998961e-01 1.278882880193854543e+00 0.000000000000000000e+00 1.766848502524709721e-02 1.570796326794896558e+00 1.162893091054537472e+18 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.273999999999999355e-01 2.637999999999999790e-01 8.800000000000000530e-03 3.316851782427546595e+02
2.390000000000000000e+02 4.391090104211190948e+01 1.854082809300645977e+03 8.829999999999998961e-01 2.012470510166781690e+00 0.000000000000000000e+00 9.514405561669896094e-02 0.000000000000000000e+00 1.500137897539366912e+18 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.273999999999999355e-01 2.637999999999999790e-01 8.800000000000000530e-03 4.042705484745536069e+02
2.400000000000000000e+02 4.977423152014586805e+01 1.463874237046142980e+03 8.829999999999998961e-01 7.945385521395847972e-01 0.000000000000000000e+00 4.710244458651404592e-02 1.570796326794896558e+00 1.192650432874984704e+18 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.273999999999999355e-01 2.637999999999999790e-01 8.800000000000000530e-03 3.346353494082272277e+02
2.410000000000000000e+02 3.604887795765071701e+01 2.200108259646864553e+03 8.829999999999998961e-01 1.492969294363127641e+00 0.000000000000000000e+00 3.660897036485767919e-01 1.570796326794896558e+00 1.805844039812741632e+18 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.273999999999999355e-01 2.637999999999999790e-01 8.800000000000000530e-03 4.635793082262002827e+02
2.430000000000000000e+02 3.702863193337142889e+01 1.856221603961617575e+03 8.829999999999998961e-01 1.878902219165250909e+00 0.000000000000000000e+00 3.316094919690515397e-01 1.570796326794896558e+00 1.544884495513729024e+18 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.273999999999999355e-01 2.637999999999999790e-01 8.800000000000000530e-03 4.046435855318476342e+02
2.440000000000000000e+02 3.776457889240527521e+01 1.994871680311054206e+03 8.829999999999998961e-01 1.234429013709036793e+00 0.000000000000000000e+00 3.104797252801244078e-01 0.000000000000000000e+00 1.672171919475222784e+18 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.273999999999999355e-01 2.637999999999999790e-01 8.800000000000000530e-03 4.286479725599992889e+02
2.470000000000000000e+02 5.213413780757734628e+01 2.292833877725339789e+03 8.829999999999998961e-01 1.890980190081368750e+00 0.000000000000000000e+00 1.705768797772929876e-02 0.000000000000000000e+00 1.964627605551122944e+18 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.273999999999999355e-01 2.637999999999999790e-01 8.800000000000000530e-03 4.791449044307942131e+02
2.480000000000000000e+02 5.234248460250849178e+01 2.081320184399182835e+03 8.829999999999998961e-01 1.041032027604891441e+00 0.000000000000000000e+00 1.726346965504936895e-02 1.570796326794896558e+00 1.796457270815486720e+18 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.273999999999999355e-01 2.637999999999999790e-01 8.800000000000000530e-03 4.434451595447313821e+02
2.490000000000000000e+02 4.829608362888829021e+01 2.343631221180262401e+03 8.829999999999998961e-01 1.907290946181647184e+00 0.000000000000000000e+00 1.522332870319090779e-02 0.000000000000000000e+00 2.037786167044630528e+18 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.273999999999999355e-01 2.637999999999999790e-01 8.800000000000000530e-03 4.876185535183601019e+02
2.500000000000000000e+02 4.253822724193295102e+01 2.545169193439996434e+03 8.829999999999998961e-01 1.548230708394203292e+00 0.000000000000000000e+00 6.715542717244812887e-02 1.570796326794896558e+00 2.229074692799243008e+18 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.273999999999999355e-01 2.637999999999999790e-01 8.800000000000000530e-03 5.208853323121543326e+02
