# galaxy bin_orb_a mass_final chi_eff spin_final spin_angle_final mass_1 mass_2 spin_1 spin_2 spin_angle_1 spin_angle_2 gen_1 gen_2 time_merged
2.200000000000000000e+01 2.398704260936095307e+04 3.654154878975150211e+01 -3.531997750120589169e-02 6.699100711403747077e-01 0.000000000000000000e+00 1.834831990585995243e+01 2.005812625040513453e+01 -6.924523321052543368e-02 -3.455192548766797267e-02 2.123256899902273176e+00 3.044160000000000199e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.700000000000000000e+05
2.200000000000000000e+01 1.939289842969542588e+04 2.751104642892052254e+01 -7.619174664681540102e-03 6.635482987054773796e-01 0.000000000000000000e+00 1.649415915627242057e+01 1.241669331650069452e+01 2.365093275263899231e-02 -7.069069743202360812e-02 4.984958901936732412e-01 2.266998065850468702e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.100000000000000000e+05
2.200000000000000000e+01 4.603825817378865759e+04 5.169629554998774523e+01 -8.930998819852246917e-02 5.438490947313842083e-01 0.000000000000000000e+00 3.850732787141932079e+01 1.528746582908822660e+01 -9.523805031127897947e-02 -9.938203906489356809e-02 2.856966460661296558e+00 2.578336592811677708e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.300000000000000000e+05
2.200000000000000000e+01 3.008256875671943999e+04 3.473550287813466753e+01 -1.560045720325508450e-02 6.071647642888532426e-01 0.000000000000000000e+00 1.064455325571938893e+01 2.560278891993238304e+01 -1.144348165807207440e-02 3.645637317925779636e-02 2.893360906853543746e+00 2.070685887175510498e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.400000000000000000e+05
2.200000000000000000e+01 1.681544497837173913e+04 2.167661778347079959e+01 -1.739226210312933354e-02 7.054608316559296544e-01 0.000000000000000000e+00 1.135763877938631872e+01 1.150003298041552391e+01 2.868784153535864495e-02 9.992646740426849861e-02 1.794723368450538148e+00 1.857700480970422507e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.400000000000000000e+05
2.200000000000000000e+01 2.529638487676443765e+04 4.606246257155645907e+01 -8.362873400804456125e-02 5.477194326633029187e-01 0.000000000000000000e+00 1.490090128506048828e+01 3.314303606325405127e+01 1.973154338269025865e-02 -1.823627589178462849e-01 1.239425459160044873e+00 2.319360679884088672e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.000000000000000000e+05
2.200000000000000000e+01 7.961645776767198186e+03 2.144761881726564923e+01 -2.880255849646131891e-02 6.767467937701752145e-01 0.000000000000000000e+00 1.237832830043302046e+01 1.017290156406592416e+01 -5.929575047400860444e-02 1.351340749353789616e-02 3.065100000000000158e+00 9.289259731155385946e-01 1.000000000000000000e+00 1.000000000000000000e+00 7.500000000000000000e+05
2.200000000000000000e+01 1.661721213202894069e+04 3.617074839691461108e+01 -3.231354789199956945e-02 6.060110071278038690e-01 0.000000000000000000e+00 2.647424333883593306e+01 1.126413801081593569e+01 -6.540373296377247070e-02 2.829419603017918616e-02 2.459570628202982778e+00 1.168745888132272093e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.500000000000000000e+05
2.200000000000000000e+01 1.895424564770347934e+04 4.193711603954012190e+01 4.878206413441199540e-01 7.281050803773684299e-01 0.000000000000000000e+00 2.776531590219874346e+01 1.668009629081455003e+01 7.759482987054763248e-01 5.898585662593824192e-02 0.000000000000000000e+00 1.431160899822708110e+00 2.000000000000000000e+00 1.000000000000000000e+00 9.200000000000000000e+05
2.200000000000000000e+01 2.866881291287109707e+04 5.417522006006721114e+01 -1.086072880061127732e-01 6.396462277854741973e-01 0.000000000000000000e+00 3.094288190325996624e+01 2.582183194667355863e+01 -2.342334567264917622e-01 -7.657755905877208780e-02 2.187613522860852644e+00 3.072080000000000144e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+05
